#' Hood Canal Summer-run Chum Salmon ESU
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 2013, 22618, 0.896435276
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1971, 1281, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1972, 1362, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1973, 1648, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1974, 1768, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1975, 1448, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1976, 1494, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1977, 1644, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1978, 3080, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1979, 761, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1980, 5109, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1981, 884, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1982, 2751, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1983, 1139, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1984, 1579, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1985, 232, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1986, 1087, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1987, 1991, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1988, 3690, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1989, 388, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1990, 341, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1991, 309, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1992, 1008, 1
127, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Strait of Juan de Fuca", 1993, 521, 1
