ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,NWR_POPULATION_NAME,NMFS_POPID,SPECIES,STREAM_NAME,START_YEAR,END_YEAR,BROOD_YEAR,VIABILITY_TYPE,RUN_TIMING,NUMBER_OF_SPAWNERS,SPAWNER_NOTES,FRACWILD,HATCHERY_FRACTION,HATCHERY_FRACTION_NOTES,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS,AGE_1_HARVEST,AGE_2_HARVEST,AGE_3_HARVEST,AGE_4_HARVEST,AGE_5_HARVEST,AGE_6_HARVEST,AGE_7_HARVEST,REGIME
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1991,NA,-99,1780,taken from LFA report appendixB;  Median column,-99,NA,1988-1994 no reliable numbers available  (e.g. see LFA report page 3.53). Norma assumed 0.05 of ozette run size.,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1992,NA,-99,4058,taken from LFA report appendixB;  Median column,-99,NA,1988-1994 no reliable numbers available  (e.g. see LFA report page 3.53). Norma assumed 0.05 of ozette run size.,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1993,NA,-99,438,estimated based on regression between appendixB values and LFA report table3.5;  MFM column,-99,NA,1988-1994 no reliable numbers available  (e.g. see LFA report page 3.53). Norma assumed 0.05 of ozette run size.,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1994,NA,-99,964,taken from LFA report appendixB;  Median column,-99,NA,1988-1994 no reliable numbers available  (e.g. see LFA report page 3.53). Norma assumed 0.05 of ozette run size.,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1995,NA,-99,459,estimated based on regression between appendixB values and LFA report table3.5;  MFM column,-99,NA,1995-1999 no reliable numbers available (e.g. see LFA report page 3.53),94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1996,NA,-99,3931,"Haggerty, M.J. 2005. Lake Ozette sockeye run-size estimate for return years 1999, 1998, 1997, and 1996. Unpublished report submitted to the Makah Indian Tribe, 42pp, Neah Bay, WA. (included in LFA as Table 3.6).",-99,NA,1995-1999 no reliable numbers available (e.g. see LFA report page 3.53),200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1997,NA,-99,1346,"Haggerty, M.J. 2005. Lake Ozette sockeye run-size estimate for return years 1999, 1998, 1997, and 1996. Unpublished report submitted to the Makah Indian Tribe, 42pp, Neah Bay, WA. (included in LFA as Table 3.6).",-99,NA,1995-1999 no reliable numbers available (e.g. see LFA report page 3.53),263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1998,NA,-99,1882,"Haggerty, M.J. 2005. Lake Ozette sockeye run-size estimate for return years 1999, 1998, 1997, and 1996. Unpublished report submitted to the Makah Indian Tribe, 42pp, Neah Bay, WA. (included in LFA as Table 3.6).",-99,NA,1995-1999 no reliable numbers available (e.g. see LFA report page 3.53),88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1999,NA,-99,2620,"Haggerty, M.J. 2005. Lake Ozette sockeye run-size estimate for return years 1999, 1998, 1997, and 1996. Unpublished report submitted to the Makah Indian Tribe, 42pp, Neah Bay, WA. (included in LFA as Table 3.6).",-99,NA,1995-1999 no reliable numbers available (e.g. see LFA report page 3.53),29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,2000,NA,-99,4851,"Haggerty, M.J. 2005. Lake Ozette sockeye run-size estimate for return year 2000. Unpublished report submitted to the Makah Indian Tribe, 23pp, Neah Bay, WA. (included in LFA as Table 3.6).",0.676,NA,taken from HGMP extension letter appendix (2015). (umbrellaNOR + ozetteRunSize)/ozetteRunSize. This is likely an underestimate due to other hatchery fish (e.g. Big River) and in lake pre-spawn mortality.,141,NA,NA,0,0.963,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,2001,NA,-99,4077,"Haggerty, M.J. 2005. Lake Ozette sockeye run-size estimate for return year 2001. Unpublished report submitted to the Makah Indian Tribe, 28pp, Neah Bay, WA. (included in LFA as Table 3.6).",0.971,NA,taken from HGMP extension letter appendix (2015). (umbrellaNOR + ozetteRunSize)/ozetteRunSize. This is likely an underestimate due to other hatchery fish (e.g. Big River) and in lake pre-spawn mortality.,229,NA,NA,0,0.851,0.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,2002,NA,-99,3820,"Haggerty, M.J. 2004. Lake Ozette sockeye run-size estimate for return year 2002. Unpublished report submitted to the Makah Indian Tribe, 25pp, Neah Bay, WA. (included in LFA as Table 3.6).",0.934,NA,taken from HGMP extension letter appendix (2015). (umbrellaNOR + ozetteRunSize)/ozetteRunSize. This is likely an underestimate due to other hatchery fish (e.g. Big River) and in lake pre-spawn mortality.,144,NA,NA,0.012,0.958,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,2003,NA,-99,4876,"Haggerty, M.J. 2005. Lake Ozette sockeye run-size estimate for return year 2003. Unpublished report submitted to the Makah Indian Tribe, 21pp, Neah Bay, WA. (included in LFA as Table 3.6).",0.97,NA,taken from HGMP extension letter appendix (2015). (umbrellaNOR + ozetteRunSize)/ozetteRunSize. This is likely an underestimate due to other hatchery fish (e.g. Big River) and in lake pre-spawn mortality.,175,NA,NA,0.019,0.947,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,2004,NA,-99,6080,estimated based on regression between Ozette run size and Umbrella run size (2000-2019). Original estimate likely an underestimate.,0.938,NA,taken from HGMP extension letter appendix (2015). (umbrellaNOR + ozetteRunSize)/ozetteRunSize. This is likely an underestimate due to other hatchery fish (e.g. Big River) and in lake pre-spawn mortality.,196,NA,NA,0.002,0.892,0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,2005,NA,-99,1721,"Haggerty, M.J. 2014. DRAFT A summary of Lake Ozette sockeye salmon run-size estimates for return years 2004 through 2012. Unpublished draft report (version 2.3) submitted to National Marine Fisheries Service, 103pp, Portland, Oregon",0.9,NA,taken from HGMP extension letter appendix (2015). (umbrellaNOR + ozetteRunSize)/ozetteRunSize. This is likely an underestimate due to other hatchery fish (e.g. Big River) and in lake pre-spawn mortality.,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
