"ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CITATION","CONTRIBUTOR","LINE_NOTES","FILE_NOTES"
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1960","898","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1961","438","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1962","1474","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1963","778","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1964","1003","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1965","869","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1966","822","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1967","305","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1968","657","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1969","931","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1970","942","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1971","652","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1972","871","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1973","683","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1974","459","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1975","377","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1976","547","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1977","267","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1978","1446","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1979","92","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1980","102","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1981","140","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1982","228","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1983","216","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1984","233","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1985","1209","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1986","655","0.5","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1987","908","0.5","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1988","868","0.63","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1989","319","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1990","528","0.44","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1991","399","0.62","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1992","394","0.1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1993","415","0.56","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1994","54","0.56","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1995","70","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1996","311","0.95","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1997","188","0.96","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1998","209","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","1999","149","0.95","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","2000","461","0.97","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","2001","608","0.94","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","2002","664","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","2003","559","0.99","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","2004","493","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","2005","348","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","2006","448","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","2007","313","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","2008","553","0.88","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","2009","765","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","2010","941","0.92","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","2011","842","0.83","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Grande Ronde/Imnaha","82","Minam River","Minam R.","2.4","","Minam River","2012","639","0.91","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Oregon Department of Fish and Wildlife","",""
