"ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CITATION","CONTRIBUTOR","LINE_NOTES","FILE_NOTES"
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","1998","121","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","1999","53","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","2000","106","0.82","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","2001","1313","0.87","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","2002","921","0.7","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","2003","677","0.79","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","2004","317","0.63","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","2005","126","0.52","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","2006","130","0.42","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon","65","Johnson Creek","EF SF Salmon R.","3.4","","Johnson Creek","2007","322","0.44","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
