Citation,Contributor,NMFS_POPID,DISPLAY_ORDER,ESU,MAJOR_POPULATION_GROUP,POPULATION_NAME,COMMON_POPULATION_NAME,SPECIES,Run,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,2006,843,0.89,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,2007,464,0.929,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,1994,448,0.6,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,1995,301,0.601,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,1994,5556,0.512,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,1995,3818,0.445,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,1996,4293,0.123,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,1997,2538,0.468,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,1998,1257,0.959,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,1999,4155,0.856,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,2000,14580,0.992,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,2001,22342,0.981,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,2002,17862,0.961,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,2003,32801,0.991,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,2004,18825,0.995,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,2005,10451,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,2006,12816,0.906,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,2007,14458,0.971,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,2008,17205,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,2009,23493,0.926,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,177,2,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River,Nehalem R.,Coho salmon,Fall,,Nehalem River,2010,33052,0.975,-99,-99,-99,-99,-99,-99,-99,-99
