#' Lower Columbia River Chinook Salmon ESU
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 2012, 413, 0.86
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 2013, 2035, 0.69
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 2014, 890, 0.96
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1964, 3020, -99
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1965, 2539, -99
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1966, 2984, -99
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1967, 3182, -99
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1968, 3594, -99
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1969, 2973, -99
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1970, 3186, -99
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1971, 3277, -99
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1972, 2869, -99
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1973, 3350, -99
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1974, 3125, -99
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1975, 5448, -99
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1976, 2383, -99
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1977, 3030, -99
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1978, 5060, -99
7, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Coastal", "Elochoman River", 1979, 2202, -99
