#' Snake River Basin Steelhead DPS
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 2007, 618, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 2008, 2096, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 2009, 3148, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 2010, 2875, 0.951
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 2011, 3274, 0.995
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 2012, 3260, 0.998
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 2013, 1553, 0.992
310, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Joseph Creek", 1970, 2758, 1
310, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Joseph Creek", 1971, 1359, 1
310, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Joseph Creek", 1972, 1746, 1
310, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Joseph Creek", 1973, 932, 1
310, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Joseph Creek", 1974, 987, 1
310, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Joseph Creek", 1975, 378, 1
310, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Joseph Creek", 1976, 302, 1
310, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Joseph Creek", 1977, 592, 1
310, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Joseph Creek", 1978, 442, 1
310, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Joseph Creek", 1979, 92, 1
