#' Upper Willamette River Steelhead DPS
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
333, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Molalla River", 1994, 2321, 0.89
333, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Molalla River", 1995, 898, 0.89
333, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Molalla River", 1996, 398, 0.89
333, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Molalla River", 1997, 590, 0.89
333, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Molalla River", 1998, 1411, 0.89
333, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Molalla River", 1999, 1090, 0.99
333, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Molalla River", 2000, 1898, 1
333, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Molalla River", 2001, 1654, 1
333, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Molalla River", 2002, 2476, 1
333, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Molalla River", 2003, 1707, 1
333, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Molalla River", 2004, 1987, 1
333, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Molalla River", 2005, 1388, 1
333, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Molalla River", 2006, 1433, 1
333, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Molalla River", 2007, 1341, 1
333, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Molalla River", 2008, 1273, 1
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1980, 4741, 0.85
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1981, 4108, 0.85
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1982, 3701, 0.85
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1983, 4185, 0.85
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1984, 4188, 0.85
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1985, 6966, 0.85
334, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "North Santiam River", 1986, 4618, 0.85
