"Series","Method","Citation","Contributor","NMFS_POPID","ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD"
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",2003,11724,0.278
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",2004,15609,0.39
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",2005,9924,0.462
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",2006,6485,0.6
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",2007,8354,0.337
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",2008,11925,0.251
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",2009,20685,0.207
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",2010,39764,0.185
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",2011,23580,0.342
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",2012,30363,0.373
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",2013,51239,0.399
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",2014,52989,0.248
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",2015,52285,0.295
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",2016,31993,0.27
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",2017,21248,0.289
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",2018,11705,0.42
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",2019,12790,0.39
