"Series","Method","Citation","Contributor","NMFS_POPID","ESU","MAJOR_POPULATION_GROUP","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD"
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",2016,886,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",2017,294,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",2018,474,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",2019,354,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",238,"Steelhead (Lower Columbia River DPS)","Cascade winter","North Fork Toutle Winter Steelhead","NF Toutle R.","1.2.1.2","Steelhead","Winter","North Fork Toutle River",2005,222,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",238,"Steelhead (Lower Columbia River DPS)","Cascade winter","North Fork Toutle Winter Steelhead","NF Toutle R.","1.2.1.2","Steelhead","Winter","North Fork Toutle River",2006,592,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",238,"Steelhead (Lower Columbia River DPS)","Cascade winter","North Fork Toutle Winter Steelhead","NF Toutle R.","1.2.1.2","Steelhead","Winter","North Fork Toutle River",2007,410,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",238,"Steelhead (Lower Columbia River DPS)","Cascade winter","North Fork Toutle Winter Steelhead","NF Toutle R.","1.2.1.2","Steelhead","Winter","North Fork Toutle River",2008,554,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",238,"Steelhead (Lower Columbia River DPS)","Cascade winter","North Fork Toutle Winter Steelhead","NF Toutle R.","1.2.1.2","Steelhead","Winter","North Fork Toutle River",2009,610,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",238,"Steelhead (Lower Columbia River DPS)","Cascade winter","North Fork Toutle Winter Steelhead","NF Toutle R.","1.2.1.2","Steelhead","Winter","North Fork Toutle River",2010,256,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",238,"Steelhead (Lower Columbia River DPS)","Cascade winter","North Fork Toutle Winter Steelhead","NF Toutle R.","1.2.1.2","Steelhead","Winter","North Fork Toutle River",2011,246,-99
