"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",329,"Methow River","Methow R.",1.4,"Summer","Methow River",2015,3248,0.314039409,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",329,"Methow River","Methow R.",1.4,"Summer","Methow River",2016,2832,0.360522599,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",329,"Methow River","Methow R.",1.4,"Summer","Methow River",2017,1598,0.281602003,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",329,"Methow River","Methow R.",1.4,"Summer","Methow River",2018,1393,0.458722182,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",329,"Methow River","Methow R.",1.4,"Summer","Methow River",2019,963,0.422637591,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",330,"Okanogan River","Okanogan R.",1.5,"Summer","Okanogan River",2011,581,0.270223752,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",330,"Okanogan River","Okanogan R.",1.5,"Summer","Okanogan River",2012,816,0.089460784,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",330,"Okanogan River","Okanogan R.",1.5,"Summer","Okanogan River",2013,826,0.152542373,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",330,"Okanogan River","Okanogan R.",1.5,"Summer","Okanogan River",2014,1133,0.390997352,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",330,"Okanogan River","Okanogan R.",1.5,"Summer","Okanogan River",2015,1465,0.29556314,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",330,"Okanogan River","Okanogan R.",1.5,"Summer","Okanogan River",2016,1480,0.25472973,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",330,"Okanogan River","Okanogan R.",1.5,"Summer","Okanogan River",2017,570,0.126315789,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",330,"Okanogan River","Okanogan R.",1.5,"Summer","Okanogan River",2018,460,0.260869565,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",330,"Okanogan River","Okanogan R.",1.5,"Summer","Okanogan River",2019,477,0.354297694,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",331,"Wenatchee River","Wenatchee R.",1.2,"Summer","Wenatchee River",2011,3330,0.401201201,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",331,"Wenatchee River","Wenatchee R.",1.2,"Summer","Wenatchee River",2012,2914,0.478723404,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",331,"Wenatchee River","Wenatchee R.",1.2,"Summer","Wenatchee River",2013,2698,0.376204596,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",331,"Wenatchee River","Wenatchee R.",1.2,"Summer","Wenatchee River",2014,2046,0.562072336,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",331,"Wenatchee River","Wenatchee R.",1.2,"Summer","Wenatchee River",2015,2678,0.463405527,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",331,"Wenatchee River","Wenatchee R.",1.2,"Summer","Wenatchee River",2016,1763,0.524673851,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",331,"Wenatchee River","Wenatchee R.",1.2,"Summer","Wenatchee River",2017,512,0.486328125,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",331,"Wenatchee River","Wenatchee R.",1.2,"Summer","Wenatchee River",2018,827,0.571946796,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",331,"Wenatchee River","Wenatchee R.",1.2,"Summer","Wenatchee River",2019,401,0.476309227,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
