"NMFS_POPID","ESU","Species","MAJOR_POPULATION_GROUP","DISPLAY_ORDER","POP_NAME_LONG","COMMON_POPULATION_NAME","RUN_TIMING","START_YEAR","END_YEAR","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","Age1","Age2","Age3","Age4","Age5","Sum.of.age","TOTAL_SPAWNERS_WITH_JACKS","NATURAL_SPAWNERS_WITH_JACKS","TOTAL_SPAWNERS_EXC_JACKS","NATURAL_ADULT_ANNUAL_RUN_4_6","JACK_FRAC_OF_HATCHERY_SPAWNERS","ADULT_NATURAL_HARVEST_RATE","NAT_NO_ORIGIN_BROOD_STOCK","ADULT_BROOD_RETURNS","SAR_ADJUSTED_ADULT_BRD_RETURNS","HATCHERY_RETURN","HATCHERY_RETURN_NOR","Date.Uploaded","Data.Submitted.by"
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,1999,825.3214256,0.102065614,0,0.00273276,0.186506616,0.738286241,0.072474383,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,2000,1242.801993,0.128824477,0,0.000615818,0.258024504,0.576421343,0.164938335,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,2001,2185,0.120823799,0,0,0.035085618,0.777101278,0.187813104,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,2002,3741,0.059877038,0,0,0.0824733,0.405730441,0.511796259,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,2003,2857,0.073503675,0,0,0.263859374,0.641372452,0.094768174,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,2004,1719,0.184991274,0,0,0.012175395,0.828875629,0.158948976,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,2005,2047,0.102589155,0,0,0.306071936,0.160111911,0.533816153,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,2006,1184,0.232263514,0,0,0.123796575,0.836758929,0.039444496,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,2007,1438,0.232267038,0,0,0.289735232,0.273993512,0.436271256,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,2008,1287.457263,0.242496051,0,0.010136027,0.199236456,0.732572139,0.058055378,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,2009,1903,0.136626379,0,0,0.043464676,0.898845974,0.05768935,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,2010,2050,0.090731707,0,0,0.392415987,0.285373203,0.32221081,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,2011,865.8218177,0.114450867,0,0.000760242,0.19133824,0.597152141,0.210749377,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,2012,758,0.370712401,0,0,0.166512796,0.560058871,0.273428333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,2013,1350.359858,0.07423905,0,0.00213368,0.07340677,0.525758171,0.398701379,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,2014,1400.229288,0.06509299,0,0.001488061,0.371723759,0.400926629,0.225861551,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,2015,1717,0.233546884,0,0,0.087359029,0.860054956,0.052586014,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,2016,964,0.193983402,0,0,0.117977186,0.639252811,0.242770004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,2017,2010.88897,0.043824701,0,0.001409991,0.066931101,0.606033043,0.325625866,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",1,"North Fork Nooksack Chinook","NF Nooksack R.","spring",1984,2018,2018,1747.023876,0.030389908,0,0.001680858,0.288798374,0.415655665,0.293865104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,1999,32.32914285,0.262295082,0,0.008910674,0.192597364,0.158100096,0.640391867,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Salmon, Chinook (Puget Sound DPS)","Chinook","Strait of Georgia",2,"South Fork Nooksack Chinook","SF Nooksack R.","spring",1984,2018,2000,111.5625353,0.674008811,0,0.003778734,0.079596554,0.886146872,0.030477839,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
