"Series","Method","Citation","Contributor","NMFS_POPID","ESU","MAJOR_POPULATION_GROUP","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD"
"ICSRSSchinookModel","Model","CAX05262046","Nez Perce Tribe",62,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Catherine Creek","Catherine Ck.",2.5,"Chinook salmon",NA,"Catherine Creek",2016,260,1
"ICSRSSchinookModel","Model","CAX05262047","Nez Perce Tribe",62,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Catherine Creek","Catherine Ck.",2.5,"Chinook salmon",NA,"Catherine Creek",2017,72,1
"ICSRSSchinookModel","Model","CAX05262048","Nez Perce Tribe",62,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Catherine Creek","Catherine Ck.",2.5,"Chinook salmon",NA,"Catherine Creek",2018,68,1
"ICSRSSchinookModel","Model","CAX05262049","Nez Perce Tribe",62,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Catherine Creek","Catherine Ck.",2.5,"Chinook salmon",NA,"Catherine Creek",2019,101,1
"ICSRSSchinookModel","Model","CAX05262050","Nez Perce Tribe",66,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Grande Ronde River Upper Mainstem","Grande Ronde R. Up. Mainstem",2.6,"Chinook salmon",NA,"Grande Ronde River",2012,135,1
"ICSRSSchinookModel","Model","CAX05262051","Nez Perce Tribe",66,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Grande Ronde River Upper Mainstem","Grande Ronde R. Up. Mainstem",2.6,"Chinook salmon",NA,"Grande Ronde River",2013,16,1
"ICSRSSchinookModel","Model","CAX05262052","Nez Perce Tribe",66,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Grande Ronde River Upper Mainstem","Grande Ronde R. Up. Mainstem",2.6,"Chinook salmon",NA,"Grande Ronde River",2015,196,1
"ICSRSSchinookModel","Model","CAX05262053","Nez Perce Tribe",66,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Grande Ronde River Upper Mainstem","Grande Ronde R. Up. Mainstem",2.6,"Chinook salmon",NA,"Grande Ronde River",2016,61,1
"ICSRSSchinookModel","Model","CAX05262054","Nez Perce Tribe",66,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Grande Ronde River Upper Mainstem","Grande Ronde R. Up. Mainstem",2.6,"Chinook salmon",NA,"Grande Ronde River",2017,15,1
"ICSRSSchinookModel","Model","CAX05262055","Nez Perce Tribe",66,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Grande Ronde River Upper Mainstem","Grande Ronde R. Up. Mainstem",2.6,"Chinook salmon",NA,"Grande Ronde River",2018,141,1
"ICSRSSchinookModel","Model","CAX05262056","Nez Perce Tribe",66,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Grande Ronde River Upper Mainstem","Grande Ronde R. Up. Mainstem",2.6,"Chinook salmon",NA,"Grande Ronde River",2019,14,1
"ICSRSSchinookModel","Model","CAX05262057","Nez Perce Tribe",67,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Imnaha River Mainstem","Imnaha R. Mainstem",2.7,"Chinook salmon",NA,"Imnaha River",2011,1864,1
"ICSRSSchinookModel","Model","CAX05262058","Nez Perce Tribe",67,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Imnaha River Mainstem","Imnaha R. Mainstem",2.7,"Chinook salmon",NA,"Imnaha River",2012,901,1
"ICSRSSchinookModel","Model","CAX05262059","Nez Perce Tribe",67,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Imnaha River Mainstem","Imnaha R. Mainstem",2.7,"Chinook salmon",NA,"Imnaha River",2013,604,1
"ICSRSSchinookModel","Model","CAX05262060","Nez Perce Tribe",67,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Imnaha River Mainstem","Imnaha R. Mainstem",2.7,"Chinook salmon",NA,"Imnaha River",2014,1163,1
"ICSRSSchinookModel","Model","CAX05262061","Nez Perce Tribe",67,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Imnaha River Mainstem","Imnaha R. Mainstem",2.7,"Chinook salmon",NA,"Imnaha River",2015,746,1
"ICSRSSchinookModel","Model","CAX05262062","Nez Perce Tribe",67,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Imnaha River Mainstem","Imnaha R. Mainstem",2.7,"Chinook salmon",NA,"Imnaha River",2016,892,1
"ICSRSSchinookModel","Model","CAX05262063","Nez Perce Tribe",67,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Imnaha River Mainstem","Imnaha R. Mainstem",2.7,"Chinook salmon",NA,"Imnaha River",2017,327,1
"ICSRSSchinookModel","Model","CAX05262064","Nez Perce Tribe",67,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Imnaha River Mainstem","Imnaha R. Mainstem",2.7,"Chinook salmon",NA,"Imnaha River",2018,244,1
