Series,Method,Citation,Contributor,NMFS_POPID,ESU,MAJOR_POPULATION_GROUP,Population_name,COMMON_POPULATION_NAME,DISPLAY_ORDER,SPECIES,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS,AGE_8_RETURNS
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1980,1519,0.98,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1981,1269,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1982,1493,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1983,2547,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1984,2022,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1985,3331,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1986,2044,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1987,1920,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1988,1525,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1989,1396,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1990,999,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1991,585,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1992,1100,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1993,1192,0.6,-99,-99,-99,0.377,0.623,-99,-99,-99
