#' Lower Columbia River Steelhead DPS
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 1987, 889, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 1988, 1088, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 1989, 392, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 1990, 522, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 1993, 438, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 1994, 362, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 1997, 108, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 1998, 486, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 1999, 198, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 2000, 530, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 2001, 384, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 2002, 298, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 2003, 460, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 2004, 722, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 2005, 370, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 2006, 372, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 2007, 384, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 2008, 722, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 2009, 602, -99
227, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Cascade", "Coweeman River", 2010, 528, -99
