NMFS_POPID,ESU,Species,MAJOR_POPULATION_GROUP,DISPLAY_ORDER,POP_NAME_LONG,COMMON_POPULATION_NAME,RUN_TIMING,START_YEAR,END_YEAR,YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,Age1,Age2,Age3,Age4,Age5,Sum of age,AGE_6_RETURNS,AGE_7_RETURNS,AGE_1_HARVEST,AGE_2_HARVEST,AGE_3_HARVEST,AGE_4_HARVEST,AGE_5_HARVEST,AGE_6_HARVEST,AGE_7_HARVEST,AGE_NOTES,TOTAL_SPAWNERS_WITH_JACKS,NATURAL_SPAWNERS_WITH_JACKS,TOTAL_SPAWNERS_EXC_JACKS,NATURAL_ADULT_ANNUAL_RUN_4_6,JACK_FRAC_OF_HATCHERY_SPAWNERS,ADULT_NATURAL_HARVEST_RATE,NAT_NO_ORIGIN_BROOD_STOCK,ADULT_BROOD_RETURNS,SAR_ADJUSTED_ADULT_BRD_RETURNS,HATCHERY_RETURN,HATCHERY_RETURN_NOR,Date Uploaded,Data Submitted by
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1978,178.8179948,1,1746.248699,0,0.00245893,0.74529761,0.1824201,0.06982335,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1979,1665.995148,1,22634.38426,0,0.00027003,0.66692706,0.32796758,0.00483532,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1980,1125.002862,1,17674.64513,0,0.0006124,0.23789315,0.73276202,0.02873242,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1981,440.0496397,1,7216.091344,0,0.0015688,0.50424676,0.40102574,0.09315869,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1982,849.3641673,0.84696835,14644.23228,0,0.00083457,0.49045265,0.4902797,0.01843308,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1983,1066.028641,0.99659296,22494.93738,0,0.00002287,0.36829762,0.60725509,0.02442443,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1984,313.4621898,0.76165467,14561.05507,0,0.00016231,0.0076436,0.65925665,0.33293744,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1985,112.1731841,0.89968306,1601.540379,0,0.00038194,0.52097234,0.22889346,0.24975226,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1986,302.0121093,0.77511726,1061.268481,0,9.53E-06,0.44208239,0.55485474,0.00305333,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,1987,86.36030011,0.79868797,2548.600784,0,0.00069806,0.0124217,0.56358553,0.4232947,1,,,,,,,,,,,,,,,,,,,,,,,
