Series,Method,Citation,Contributor,NMFS_POPID,ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS,AGE_8_RETURNS
ICSRFchinook2046,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2000,2558,0.449,,0.4167,0.3833,0.2,0,,
ICSRFchinook2047,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2001,9545,0.541,,0.2382,0.4953,0.2587,0.006,,
ICSRFchinook2048,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2002,9347,0.226,,0.271,0.389,0.138,0,,
ICSRFchinook2049,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2003,11724,0.278,,0.1909,0.6455,0.1636,0,,
ICSRFchinook2050,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2004,15609,0.39,0.114,0.109,0.318,0.287,0.071,,
ICSRFchinook2051,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2005,9924,0.462,0.139,0.406,0.366,0.091,0,,
ICSRFchinook2052,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2006,6485,0.6,0.216,0.243,0.389,0.145,0,,
ICSRFchinook2053,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2007,8354,0.337,0.131,0.336,0.374,0.157,0.002,,
ICSRFchinook2054,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2008,11925,0.251,0.176,0.271,0.411,0.138,0.005,,
ICSRFchinook2055,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,2009,20685,0.207,0.207,0.298,0.389,0.103,0.002,,
